CompanyCode,StockShortName,Shariah,Sector,CompanyFullName,Date
03041,1TECH,No,Software ,ONETECH SOLUTIONS HOLDINGS BERHAD,20210704
0012,3A,Yes,Food & Beverages ,THREE-A RESOURCES BERHAD,20210704
7054,AASIA,Yes,Plantation ,ASTRAL ASIA BERHAD,20210704
5238,AAX,Yes,"Travel, Leisure & Hospitality ",AIRASIA X BERHAD,20210704
0800EA,ABFMY1,No,Bond Fund ,ABF MALAYSIA BOND INDEX FUND,20210704
7086,ABLEGRP,Yes,Building Materials ,ABLEGROUP BERHAD,20210704
2488,ABMB,No,Banking ,ALLIANCE BANK MALAYSIA BERHAD,20210704
03028,ACEINNO,No,Metals ,ACE INNOVATE ASIA BERHAD,20210704
7131,ACME,Yes,Property ,ACME HOLDINGS BERHAD,20210704
0218,ACO,Yes,Industrial Services ,ACO GROUP BERHAD,20210704
7120,ACOSTEC,Yes,Property ,ACOUSTECH BERHAD,20210704
5281,ADVCON,Yes,Construction ,ADVANCECON HOLDINGS BERHAD,20210704
7191,ADVENTA,Yes,Health Care Equipment & Services ,ADVENTA BERHAD,20210704
9148,ADVPKG,Yes,Packaging Materials ,ADVANCED PACKAGING TECHNOLOGY (M) BHD,20210704
7146,AEM,Yes,"Industrial Materials, Components & Equipment ",AE MULTI HOLDINGS BERHAD,20210704
0181,AEMULUS,Yes,Technology Equipment ,AEMULUS HOLDINGS BERHAD,20210704
6599,AEON,Yes,Retailers ,AEON CO. (M) BHD,20210704
5139,AEONCR,No,Other Financials ,AEON CREDIT SERVICE (M) BERHAD,20210704
5185,AFFIN,No,Banking ,AFFIN BANK BERHAD,20210704
5198,AFUJIYA,Yes,Auto Parts ,ABM FUJIYA BERHAD,20210704
7145,AGES,Yes,Construction ,AGESON BERHAD,20210704
7315,AHB,Yes,Consumer Services ,AHB HOLDINGS BERHAD,20210704
7090,AHEALTH,Yes,Pharmaceuticals ,APEX HEALTHCARE BERHAD,20210704
0122,AIM,No,Industrial Services ,ADVANCE INFORMATION MARKETING BERHAD,20210704
0209,AIMFLEX,Yes,Technology Equipment ,AIMFLEX BERHAD,20210704
5099,AIRASIA,Yes,"Travel, Leisure & Hospitality ",AIRASIA GROUP BERHAD,20210704
5014,AIRPORT,No,Transportation & Logistics Services ,MALAYSIA AIRPORTS HOLDINGS BERHAD,20210704
2658,AJI,Yes,Food & Beverages ,AJINOMOTO (MALAYSIA) BERHAD,20210704
7609,AJIYA,Yes,Building Materials ,AJIYA BERHAD,20210704
5115,ALAM,Yes,"Energy Infrastructure, Equipment & Services ",ALAM MARITIM RESOURCES BERHAD,20210704
5116,ALAQAR,Yes,Real Estate Investment Trusts ,AL-`AQAR HEALTHCARE REIT,20210704
2674,ALCOM,No,Metals ,ALCOM GROUP BERHAD,20210704
1163,ALLIANZ,No,Insurance ,ALLIANZ MALAYSIA BERHAD,20210704
5269,ALSREIT,Yes,Real Estate Investment Trusts ,AL-SALAM REAL ESTATE INVESTMENT TRUST,20210704
1015,AMBANK,No,Banking ,AMMB HOLDINGS BERHAD,20210704
5293,AME,Yes,Construction ,AME ELITE CONSORTIUM BERHAD,20210704
0159,AMEDIA,Yes,Media ,ASIA MEDIA GROUP BERHAD,20210704
5120,AMFIRST,No,Real Estate Investment Trusts ,AMFIRST REAL ESTATE INVESTMENT TRUST,20210704
03011,AMLEX,Yes,Semiconductors ,AMLEX HOLDINGS BERHAD,20210704
1007,AMPROP,Yes,Property ,AMCORP PROPERTIES BERHAD,20210704
7031,AMTEL,Yes,Telecommunications Equipment ,AMTEL HOLDINGS BERHAD,20210704
6351,AMWAY,Yes,Retailers ,AMWAY (MALAYSIA) HOLDINGS BERHAD,20210704
7083,ANALABS,No,Industrial Services ,ANALABS RESOURCES BERHAD,20210704
4758,ANCOM,Yes,Chemicals ,ANCOM BERHAD,20210704
0048,ANCOMLB,Yes,Transportation & Logistics Services ,ANCOM LOGISTICS BERHAD,20210704
0226,ANEKA,Yes,Construction ,ANEKA JARINGAN HOLDINGS BERHAD,20210704
6556,ANNJOO,Yes,Metals ,ANN JOO RESOURCES BERHAD,20210704
5082,ANNUM,Yes,Wood & Wood Products ,ANNUM BERHAD,20210704
9342,ANZO,Yes,Wood & Wood Products ,ANZO HOLDINGS BERHAD,20210704
5568,APB,Yes,Industrial Engineering ,APB RESOURCES BERHAD,20210704
5088,APEX,No,Other Financials ,APEX EQUITY HOLDINGS BERHAD,20210704
5015,APM,Yes,Auto Parts ,APM AUTOMOTIVE HOLDINGS BERHAD,20210704
6432,APOLLO,Yes,Food & Beverages ,APOLLO FOOD HOLDINGS BERHAD,20210704
0119,APPASIA,Yes,Software ,APPASIA BERHAD,20210704
7214,ARANK,Yes,Metals ,A-RANK BERHAD,20210704
7181,ARBB,Yes,Software ,ARB BERHAD,20210704
7007,ARK,Yes,Property ,ARK RESOURCES HOLDINGS BERHAD,20210704
5210,ARMADA,No,"Energy Infrastructure, Equipment & Services ",BUMI ARMADA BERHAD,20210704
5127,ARREIT,No,Real Estate Investment Trusts ,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,20210704
0038,ARTRONIQ,Yes,Chemicals ,ARTRONIQ BERHAD,20210704
1481,ASB,Yes,"Travel, Leisure & Hospitality ",ADVANCE SYNERGY BERHAD,20210704
0068,ASDION,Yes,Software ,ASDION BERHAD,20210704
7722,ASIABRN,Yes,Personal Goods ,ASIA BRANDS BERHAD,20210704
7129,ASIAFLE,Yes,Consumer Services ,ASIA FILE CORPORATION BHD,20210704
4057,ASIAPAC,Yes,Property ,ASIAN PAC HOLDINGS BERHAD,20210704
0105,ASIAPLY,Yes,Chemicals ,ASIA POLY HOLDINGS BERHAD,20210704
7162,ASTINO,Yes,Building Materials ,ASTINO BERHAD,20210704
03032,ASTRA,No,Food & Beverages ,ASTRAMINA GROUP BERHAD,20210704
6399,ASTRO,No,Media ,ASTRO MALAYSIA HOLDINGS BERHAD,20210704
0072,AT,Yes,"Industrial Materials, Components & Equipment ",AT SYSTEMATIZATION BERHAD,20210704
8176,ATAIMS,Yes,"Industrial Materials, Components & Equipment ",ATA IMS BERHAD,20210704
7048,ATLAN,No,Retailers ,ATLAN HOLDINGS BHD.,20210704
5130,ATRIUM,No,Real Estate Investment Trusts ,ATRIUM REAL ESTATE INVESTMENT TRUST,20210704
7099,ATTA,Yes,Metals ,ATTA GLOBAL GROUP BERHAD,20210704
03037,AURORA,Yes,Personal Goods ,AURORA ITALIA INTERNATIONAL BERHAD,20210704
8885,AVI,Yes,"Travel, Leisure & Hospitality ",AVILLION BERHAD,20210704
5204,AWANTEC,Yes,Digital Services ,AWANBIRU TECHNOLOGY BERHAD,20210704
7579,AWC,Yes,Industrial Services ,AWC BERHAD,20210704
6888,AXIATA,Yes,Telecommunications Service Providers ,AXIATA GROUP BERHAD,20210704
5106,AXREIT,Yes,Real Estate Investment Trusts ,AXIS REAL ESTATE INVESTMENT TRUST,20210704
2305,AYER,Yes,Property ,AYER HOLDINGS BERHAD,20210704
5021,AYS,Yes,Building Materials ,AYS VENTURES BERHAD,20210704
7078,AZRB,Yes,Construction ,AHMAD ZAKI RESOURCES BERHAD,20210704
03012,BABA,Yes,Household Goods ,BABA ECO GROUP BERHAD,20210704
0098,BAHVEST,Yes,Agricultural Products ,BAHVEST RESOURCES BERHAD,20210704
7251,BARAKAH,Yes,"Energy Infrastructure, Equipment & Services ",BARAKAH OFFSHORE PETROLEUM BERHAD,20210704
4162,BAT,No,Personal Goods ,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,20210704
5248,BAUTO,Yes,Automotive ,BERMAZ AUTO BERHAD,20210704
6602,BCB,Yes,Property ,BCB BERHAD,20210704
0187,BCMALL,Yes,Industrial Services ,BCM ALLIANCE BERHAD,20210704
6173,BDB,Yes,Property ,BINA DARULAMAN BERHAD,20210704
5190,BENALEC,No,Construction ,BENALEC HOLDINGS BERHAD,20210704
9814,BERTAM,Yes,Property ,BERTAM ALLIANCE BERHAD,20210704
8133,BHIC,Yes,Transportation Equipment ,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,20210704
7005,BIG,Yes,Diversified Industrials ,B.I.G. INDUSTRIES BERHAD,20210704
5258,BIMB,Yes,Banking ,BIMB HOLDINGS BERHAD,20210704
0195,BINACOM,Yes,Telecommunications Service Providers ,BINASAT COMMUNICATIONS BERHAD,20210704
6998,BINTAI,Yes,Industrial Engineering ,BINTAI KINDEN CORPORATION BERHAD,20210704
0179,BIOHLDG,Yes,Food & Beverages ,BIOALPHA HOLDINGS BERHAD,20210704
5032,BIPORT,Yes,Transportation & Logistics Services ,BINTULU PORT HOLDINGS BERHAD,20210704
3239,BJASSET,No,Property ,BERJAYA ASSETS BERHAD,20210704
3395,BJCORP,No,Diversified Industrials ,BERJAYA CORPORATION BERHAD,20210704
5196,BJFOOD,Yes,"Travel, Leisure & Hospitality ",BERJAYA FOOD BERHAD,20210704
4219,BJLAND,No,"Travel, Leisure & Hospitality ",BERJAYA LAND BERHAD,20210704
1562,BJTOTO,No,"Travel, Leisure & Hospitality ",BERJAYA SPORTS TOTO BERHAD,20210704
1899,BKAWAN,Yes,Plantation ,BATU KAWAN BERHAD,20210704
5069,BLDPLNT,Yes,Plantation ,BLD PLANTATION BHD.,20210704
0168,BOILERM,Yes,"Industrial Materials, Components & Equipment ",BOILERMECH HOLDINGS BERHAD,20210704
9288,BONIA,Yes,Personal Goods ,BONIA CORPORATION BERHAD,20210704
7036,BORNOIL,Yes,Industrial Services ,BORNEO OIL BERHAD,20210704
6297,BOXPAK,No,Packaging Materials ,BOX-PAK (MALAYSIA) BERHAD,20210704
5254,BPLANT,Yes,Plantation ,BOUSTEAD PLANTATIONS BERHAD,20210704
5100,BPPLAS,Yes,Packaging Materials ,BP PLASTICS HOLDING BHD,20210704
5932,BPURI,Yes,Construction ,BINA PURI HOLDINGS BHD,20210704
9474,BRAHIMS,Yes,Food & Beverages ,BRAHIM'S HOLDINGS BERHAD,20210704
8761,BREM,Yes,Construction ,BREM HOLDING BERHAD,20210704
9938,BRIGHT,No,Packaging Materials ,BRIGHT PACKAGING INDUSTRY BERHAD,20210704
7221,BSLCORP,Yes,Metals ,BSL CORPORATION BERHAD,20210704
2771,BSTEAD,Yes,Diversified Industrials ,BOUSTEAD HOLDINGS BERHAD,20210704
0011,BTECH,Yes,"Gas, Water & Multi-utilities ",BRITE-TECH BERHAD,20210704
7188,BTM,Yes,Wood & Wood Products ,BTM RESOURCES BERHAD,20210704
1818,BURSA,Yes,Other Financials ,BURSA MALAYSIA BERHAD,20210704
03042,BVLH,Yes,Construction ,BV LAND HOLDINGS BERHAD,20210704
7174,CAB,Yes,Agricultural Products ,CAB CAKARAN CORPORATION BERHAD,20210704
0191,CABNET,Yes,Technology Equipment ,CABNET HOLDINGS BERHAD,20210704
